Obs.	statenum	casenum	accdate	acctime	speeding	alcres	drugres1	
626	18	376	07162015	2215	0	996	0	
627	21	381	08112015	0726	0	0	1	
628	24	401	11292015	0820	1	120	1	
629	12	1114	06142015	1629	0	996	0	
630	12	1597	08212015	1116	0	0	1	
631	41	311	11112015	1005	0	0	1	
632	51	525	08312015	1515	0	996	0	
633	13	122	02072015	2231	0	996	0	
634	18	162	03142015	1127	0	0	1	
635	20	38	02112015	1910	0	0	1	
636	34	97	04222015	2104	1	18	300	
637	36	744	10092015	1515	0	996	0	
638	26	127	03312015	2100	0	995	95	
639	17	599	09132015	0344	0	0	1	
640	40	377	09162015	1140	0	0	417	
641	48	3068	12222015	1502	0	996	0	
642	12	1362	07192015	1952	0	995	95	
643	21	178	04212015	0019	0	996	0	
644	28	223	05302015	2320	0	999	999	
645	47	77	02122015	1840	0	996	0	
646	6	1557	09132015	0004	0	0	695	
647	12	1390	07282015	1828	0	996	0	
648	18	552	09302015	1728	0	0	1	
649	19	42	03252015	1250	0	997	997	
650	21	62	01302015	2005	0	.	.	
651	25	119	07282015	2349	0	.	.	
652	36	862	11142015	0419	0	995	95	
653	53	101	04022015	0927	0	0	1	
654	53	328	09052015	1501	0	0	605	
655	17	727	09192015	1208	0	0	1	
656	48	759	04142015	0742	0	0	1	
657	53	350	09122015	0507	0	0	1	
658	56	52	06182015	1750	0	0	1	
659	8	338	09032015	2347	0	179	351	
660	5	424	11132015	0800	0	0	1	
661	13	758	08072015	2145	0	996	0	
662	34	490	12142015	1909	0	0	401	
663	42	445	06282015	0245	0	999	999	
664	17	292	01312015	0047	0	283	1	
665	6	1617	10122015	0838	1	.	.	
666	29	327	06292015	0150	0	996	0	
667	41	37	02182015	1440	0	0	0	
668	6	397	03092015	1945	1	0	1	
669	6	1785	11042015	0900	1	20	.	
670	12	1245	07012015	2020	1	996	0	
671	33	76	10052015	1813	0	0	1	
672	41	28	02092015	0820	1	996	0	
673	53	160	06122015	0249	1	996	0	
674	54	162	08192015	1540	0	0	1	
675	6	970	05212015	2120	0	996	0	
676	1	212	04302015	1710	0	996	0	
677	30	5	01262015	1808	0	0	1	
678	32	124	07282015	1445	0	999	999	
679	45	739	11012015	0114	0	230	407	
680	32	212	10102015	1035	0	996	0	
